"nid","title","body","body_format","body_summary","sinopsis","image_fid","archivo_fid"
"8","Realizarán archivo bibliográfico y documental del cineasta Boris Goldenblank","NULL","NULL","NULL","Estará a cargo de especialista del Museo Estadounidense Conmemorativo del Holocausto (USHMM)","537","NULL"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","541","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","542","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","543","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","544","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","545","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","546","548"
"13","Ejemplo noticia 2: Drupal-07","NULL","NULL","NULL","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean lacinia. ","13","14"
"687","Fallece el escultor Juan José Méndez Hernández","NULL","NULL","NULL","Fue egresado de esta Casa de Estudio","529","NULL"
"688","En proceso de reacreditación Licenciatura en Arquitectura","NULL","NULL","NULL","NULL","530","NULL"
"689","IMEPLAN y CUAAD harán estudio urbano sobre Línea 3 del Tren Ligero","NULL","NULL","NULL","NULL","531","NULL"
"691","Conviven jóvenes universitarios con Ignacio López Tarso","NULL","NULL","NULL","NULL","533","NULL"
"691","Conviven jóvenes universitarios con Ignacio López Tarso","NULL","NULL","NULL","NULL","549","NULL"
"706","Preparan un sistema de agua pluvial para huerto en el CUAAD","NULL","NULL","NULL","Se buscan recursos económicos","642","NULL"
"707","Estrenarán documental “La hora de la siesta” en Cineforo","NULL","NULL","NULL","El filme sobre la tragedia de la guardería ABC fue producido por tapatíos","643","NULL"
"712","Aumenta el número de jóvenes empresarios en Guadalajara","NULL","NULL","NULL","CUAAD forma parte del grupo de Emprendedores Universitarios de la Cámara de Comercio","659","NULL"
"713","Darán vida a tejido social, vivienda y urbanismo en Huentitán el bajo","NULL","NULL","NULL","CUAAD realizó un diagnóstico y los planes respectivos","672","NULL"
"757","Analizan patrimonio histórico y cultural de edificación en Guadalajara","NULL","NULL","NULL"," CUAAD, Universidad de Carleton y Museo de la Ciudad de Guadalajara realizan taller del 16 al 28 de febrero.","774","NULL"
"759","Abren concurso para fomentar el uso de la bicicleta","NULL","NULL","NULL"," Está dirigido a todos los estudiantes de esta Casa de Estudio","800","NULL"
"763","Presentan resultados del Taller de Patrimonio Histórico y Cultural","NULL","NULL","NULL","Participaron alumnos de la UdeG y la Universidad de Carleton.","852","NULL"
"771","Inauguran segundo ciclopuerto en el CUAAD","NULL","NULL","NULL","Egresado dona espacios para bicicletas","910","NULL"
"772","Celebran 38 años de Licenciatura en Diseño de Interiores y Ambientación","NULL","NULL","NULL","Conferencias, talleres y exposición de fotografías son parte del festejo","911","NULL"
"801","Estrenarán en Guadalajara el documental “Humano”","NULL","NULL","NULL"," Su director Alan Stivelman ofreció una charla en el CUAAD","960","NULL"
"803","Mayor vinculación del CUAAD con la sociedad, uno de sus mayores logros","NULL","NULL","NULL","Rector del CUAAD brinda su segundo Informe de actividades. Inauguran un laboratorio y develan mural en homenaje al maestro Boris Goldenblank","982","NULL"
"804","Rodarán en Guadalajara cortometrajes de estudiantes de la UdeG","NULL","NULL","NULL","Habrá dos coproducciones con la UNAM","986","NULL"
"810","Incrementará CUAAD movilidad con Pontificia Universidad Javeriana de Colombia ","NULL","NULL","NULL","Alumnos en las carreras de artes audiovisuales podrán realizar estancias académicas en este país","1022","NULL"
"821","Realiza CUAAD primer Festival de Talentos","NULL","NULL","NULL"," Diversas obras artísticas exponen cerca de 250 alumnos de diferentes carreras","1034","NULL"
"825","Edificaciones turísticas en Puerto Vallarta repercuten en la sustentabilidad","NULL","NULL","NULL","Iniciaron las Jornadas de Innovación, Investigación y Posgrado 2015","1049","NULL"
"827","Realizará CUAAD homenaje a Gabriel Ruíz Galindo","NULL","NULL","NULL"," Parte de las regalías del compositor jalisciense fueron donadas a alumnos de la Escuela de Música","1055","NULL"
"828","Engalanan Paraninfo universitario con música de Gabriel Ruiz","NULL","NULL","NULL","Reconocen legado musical y humanismo del compositor","1062","NULL"
"830","Celebrarán con música el Día Internacional del Libro","NULL","NULL","NULL","La Banda Sinfónica del Departamento de Música de la UdeG se presenta esta noche en el Teatro Degollado","1067","NULL"
"831","Alumnos realizan festejo para la Madre Tierra","NULL","NULL","NULL","NULL","1085","NULL"
"835","Papirolas invita a divertirse con las matemáticas a través del arte","NULL","NULL","NULL","El Festival para niños y jóvenes –que cumple 20 años– se llevará a cabo del 20 al 24 de mayo","1088","NULL"
"837","CUAAD diseñará proyectos arquitectónicos incluyentes en parques acuáticos","NULL","NULL","NULL"," 18 Alumnos y tres maestros propondrán diseños en beneficio de personas con discapacidad","1099","NULL"
"840","Estructura y planeación de ZMG impiden dejar de usar el automóvil","NULL","NULL","NULL","Su uso es excesivo, señala investigadora del CUAAD","1108","NULL"
"841","Inicia próximo lunes Semana de la escultura en Artes Plásticas","NULL","NULL","NULL"," Los escultores Joe Meiser y Piotr Twardowski impartirán talleres","1109","NULL"
"851","IEPC reflexiona el voto informado con estudiantes del CUAAD","NULL","NULL","NULL"," Hace tres años, los jóvenes tuvieron una baja participación en las elecciones","1143","NULL"
"853","Firman convenio CUAAD y Fundación Hospitales Civiles de Guadalajara A.C.","NULL","NULL","NULL","Estudiantes diseñaran su campaña publicitaria para el 2015","1161","NULL"
"854","Egresado del CUAAD participará en Cannes","NULL","NULL","NULL","Número equivocado, cortometraje de Ernesto Rivera Machuca, será exhibido en la sección Short Film Corner del festival francés  ","1162","NULL"
"859","Interpretarán obra del compositor tapatío Benigno de la Torre","NULL","NULL","NULL","En el marco de la temporada de conciertos de primavera, el Departamento de Música de la UdeG presentará un recital de piano","1172","NULL"
"860","Expone Alfonso Petersen propuestas sobre movilidad urbana y transporte con alumnos del CUAAD","NULL","NULL","NULL","El candidato del PAN acudió al Foro de Análisis y Discusión organizado por estudiantes.","1173","NULL"
"862","Exponen alumnos proyectos de diseño y emprendimiento","NULL","NULL","NULL","se inaugura en el CUAAD la 28 edición de la Expo Diseña Emprende","1187","NULL"
"863","Recomiendan vivienda vertical y comercios a lo largo de la Línea 3","NULL","NULL","NULL","Especialistas piden estrategias para propiciar el desarrollo en varios puntos de Guadalajara","1189","NULL"
"866","Alumno del CUAAD participará en la Segunda Bienal de Fotografía","NULL","NULL","NULL"," Representará a la UdeG el próximo 27 de mayo en la galería Héctor García de la Ciudad de México","1192","NULL"
"868","Reconoce CUAAD a Booktubers de la UdeG","NULL","NULL","NULL","Entregan premios del Primer concurso de booktubers literatura del mundo CUAAD","1195","NULL"
"870","Impartirán segunda edición del taller Pequeñas máquinas de teatro","NULL","NULL","NULL","El Laboratorio de Arte Jorge Martínez ofrecerá un taller en el que la dramaturgia se expresa en la creación de autómatas que cuentan historias y relatan sucesos","1212","NULL"
"875","Estudiantes del CUAAD analizan problemas urbanos de Zapotlanejo","NULL","NULL","NULL"," Presentan propuestas de planeación urbana para el municipio","1234","NULL"
"879","Cine jalisciense debería explotar ideas y ganas de contar historias","NULL","NULL","NULL","“Si un lugar es exitoso se debe al talento de sus personas”: Kenji Leopo, creador de la música de la cinta “Somos Mari Pepa”","1247","NULL"
"884","En el olvido plazas públicas por el auge de centros comerciales","NULL","NULL","NULL","Necesario recuperar estos espacios, señala investigadora del CUAAD","1264","NULL"
"888","Debaten y exhiben proyectos de diseño y comunicación","NULL","NULL","NULL","Exponen estudiantes del CUAAD procesos y soluciones del diseño  ","1280","NULL"
"891","Creatividad y talento en la Muestra de Diseño Industrial del CUAAD","NULL","NULL","NULL","Cerca de 400 alumnos presentan productos hechos a lo largo del semestre","1330","NULL"
"893","Alumnos del CUAAD rediseñaron y acondicionaron áreas en instalaciones de asociaciones civiles","NULL","NULL","NULL","  316 alumnos beneficiaron a asociaciones como la Ciudad de los Niños del Padre Cuéllar, Mi Último Deseo, la Casa hogar Kamami y Mamá AC, entre otras","1341","NULL"
"897","Mi amor por esta facultad jamás ha disminuido: González Gortázar","NULL","NULL","NULL"," El reconocido arquitecto visitó las instalaciones del CUAAD.","1411","NULL"
"900","Impartirán taller sobre la historia del arte contemporáneo","NULL","NULL","NULL","Del 6 al 17 de Julio en la Galería de Arte Jorge Martínez","1424","NULL"
"902","Participan selecciones deportivas del CUAAD en torneo FEU Vallarta","NULL","NULL","NULL","Asistieron 72 alumnos de las disciplinas fútbol, basquetbol y voleibol","1436","NULL"
"906","Estrenarán en julio la obra “Conjuros”, que revive la inquisición","NULL","NULL","NULL","La presentación será el próximo 2 de julio en la sala Higinio Ruvalcaba del ex Convento del Carmen","1449","NULL"
"908","Festival Internacional de las Artes de Etzatlán reunirá a 400 artistas","NULL","NULL","NULL","CUAAD y CUValles colaboran en este festejo cultural, a realizarse del 18 al 21 de junio","1452","NULL"
"910","Instituto Cultural Cabañas en riesgo de perder la declaratoria de patrimonio de la humanidad","NULL","NULL","NULL","Reflexionan sobre el valor histórico arquitectónico de Jalisco ","1463","NULL"
"911","Anuncian coloquio sobre desigualdad en ciudades del siglo XXI","NULL","NULL","NULL","Con miras a participar en la Conferencia de las Naciones Unidas sobre Vivienda y Desarrollo Urbano Sostenible 2016","1465","NULL"
"913","Urgente reconocer importancia de centros históricos","NULL","NULL","NULL","Especialistas del CUAAD reflexionaron sobre los vacíos legales que permiten edificar centros comerciales en espacios históricos","1474","NULL"
"916","Analizan la importancia del brief en los procesos de diseño","NULL","NULL","NULL"," Se inaugura el 4to Foro de revisión y actualización curricular","1531","NULL"
"919","Alista CUAAD Primer Festival Internacional y Concurso Nacional de Guitarra","NULL","NULL","NULL"," Del 6 al 10 de julio reunirá a guitarristas internacionales y competidores de diversos estados del país","1542","NULL"
"920","En Jalisco se está incubando una crisis severa de agua: Gleason","NULL","NULL","NULL","El especialista de la UdeG expondrá este problema ante expertos de 31 universidades del mundo","1543","NULL"
"921","Analizan temas de vinculación y movilidad entre escuelas de arquitectura","NULL","NULL","NULL","CUAAD es sede de reunión de la Asociación de Instituciones de Enseñanza de la Arquitectura. ","1544","NULL"
"923","Otorgan galardón Colibrí 2015 a cuatro académicos del CUAAD","NULL","NULL","NULL","Reconocen labor en favor del medio ambiente","1554","NULL"
"926","Guadalajara se ha convertido en un referente en animación","NULL","NULL","NULL","José Garcia Moreno imparte el curso “Del guión a la pantalla”","1568","NULL"
"928","CUAAD anuncia Primer Festival Internacional y Concurso Nacional de Guitarra","NULL","NULL","NULL","Doce jóvenes representarán al estado de Jalisco","1593","NULL"
"931","Participan funcionarios y académicos del CUAAD en diagnóstico de la Red Universitaria","NULL","NULL","NULL","Como parte del Programa de Fortalecimiento al modelo departamental de la Red Universitaria.","1610","NULL"
"940","Inició primer Festival Internacional y Concurso Nacional de Guitarra","NULL","NULL","NULL","El intérprete de guitarra e instrumentos antiguos, Héctor González, inició ayer por la noche el ciclo de conciertos en el paraninfo Enrique Díaz de León","1639","NULL"
"942","Anuncian ganadores del Concurso Nacional de Guitarra","NULL","NULL","NULL"," Fue punto de encuentro de los más talentosos jóvenes guitarristas","1645","NULL"
"944","Estudio de CUCBA y CUAAD genera tinte natural aplicable a fibras textiles","NULL","NULL","NULL"," Los pigmentos se elaboran con grana cochinilla y son usados en varios productos","1656","NULL"
"945","Alistan en CUAAD charla con el destacado documentalista peruano José Balado Díaz","NULL","NULL","NULL","Hablará sobre los medios audiovisuales como herramientas de educación y desarrollo","1657","NULL"
"947","Crean silla de ruedas ecológica para personas de bajos recursos","NULL","NULL","NULL"," Académicos del CUAAD utilizaron 80 por ciento de plástico reciclado","1667","NULL"
"951","Expondrán cortometrajes en Biblioteca Pública del Estado","NULL","NULL","NULL","“Muestrario Cortometrajes en Proyección” impulsará la exhibición y difusión de trabajos locales, nacionales e internacionales.","1675","NULL"
"953","Alistan segundo Encuentro Nacional de Gestión Cultural","NULL","NULL","NULL","Del 14 al 17 de Octubre 2015 en el centro cultural El Refugio de Tlaquepaque","1682","NULL"
"955","Invitan a la semana de la fotografía del CUAAD","NULL","NULL","NULL","Contará con la presencia de la destacada historiadora Beatriz de las Heras Herrero","1687","NULL"
"956","Reconoce UdeG podcast del CUAAD","NULL","NULL","NULL","“Así suena CUAAD” resultó ganador del concurso “Mejora tu Campus”","1694","NULL"
"958","Alumnos del CUAAD buscan crear identidad para el mueble mexicano","NULL","NULL","NULL"," Elaboran sillas con características de cada estado del país","1706","NULL"
"960","Crean muros ecológicos con fibra de agave y hielo seco","NULL","NULL","NULL","Son paneles reciclables, resistentes, ligeros","1713","NULL"
"961","Disminuyen incapacidades en CUAAD por Programa de Disciplina y Salud Integral  (PDSI)","NULL","NULL","NULL"," El PDSI es el único Programa en la Red Universitaria.","1714","NULL"
"966","Inicia II Jornada Internacional de Arte: Actualidad y Conservadurismo","NULL","NULL","NULL"," Se espera la asistencia de alrededor de 400 alumnos del CUAAD, CUTonalá y CUCSH, y de la UNAM","1727","NULL"
"972","Invitan a taller para desarrollar proyectos a través de la fotografía","NULL","NULL","NULL","Los alumnos aprenderán herramientas indispensables en la producción de proyectos artísticos","1743","NULL"
"974","Académicos reciben capacitación en reanimación cardiopulmonar","NULL","NULL","NULL"," Se busca convertir a Centros Universitarios en planteles Cardioseguros","1744","NULL"
"977","CUAAD prepara maestría en el uso de la voz","NULL","NULL","NULL","La Universidad de Guadalajara lidera proyectos de la Red Latinoamericana de Creación e Investigación Teatral Universitaria","1756","NULL"
"978","México, país incómodo para hacer cine: director José Luis Agraz","NULL","NULL","NULL","Imparte el curso-taller de dirección escénica a estudiantes del Departamento de Imagen y Sonido del CUAAD","1763","NULL"
"980","Intercambian experiencias en torno a la filosofía","NULL","NULL","NULL","El CUAAD es sede del primer encuentro de Cafés filosóficos","1766","NULL"
"982","Educar por la paz a través del arte","NULL","NULL","NULL","Académica presentó una conferencia sobre cómo ciertas habilidades son propicias para la vida colectiva y combatir la violencia","1785","NULL"
"984","Fomenta CUAAD el deporte entre su comunidad estudiantil ","NULL","NULL","NULL","Con torneo deportivo se inaugura el espacio de usos múltiples. ","1799","NULL"
"988","Alistan la segunda edición de la Semana del Diseño en el CUAAD","NULL","NULL","NULL","Asistirán más de 400 alumnos de UdeG, Tecnológico de Monterrey, ITESO y UVM","1819","NULL"
"990","Concepto de Zona Metropolitana ha sido rebasado en Guadalajara","NULL","NULL","NULL","Anuncian Coloquio Acción Internacional, del 9 al 11 de septiembre","1835","NULL"
"992","Inicia la segunda Semana del Diseño en CUAAD","NULL","NULL","NULL","Participan 400 alumnos de cinco instituciones educativas, diez proveedores de tecnología y 35 panelistas","1849","NULL"
"994","Eliminar desigualdad, clave para disminuir violencia en México: ONU Hábitat","NULL","NULL","NULL","Inicia coloquio “Ciudades y desigualdad social en el siglo XXI”","1854","NULL"
"996","Con charla de Attanasio Mazzone culmina Semana del Diseño en el CUAAD","NULL","NULL","NULL","El diseñador industrial destaca por el diseño y fabricación de muebles innovadores con materiales reciclados","1863","NULL"
"998","Abren convocatoria para concurso ArpaFIL 2015","NULL","NULL","NULL","La edición 21 busca remozar la zona aledaña al mercado municipal de Mezquitán","1883","NULL"
"999","Académicos buscan nuevo modelo de ciudades centradas en Latinoamérica","NULL","NULL","NULL","Inicia Taller Internacional de Planeación y Diseño Urbano  ","1891","NULL"
"1001","Rinden homenaje a Mathias Goeritz en la UdeG","NULL","NULL","NULL","Esta noche, en el Musa inauguran la exposición “Do it yourself: la arquitectura es un juego”","1898","NULL"
"1003","Preparan primera Muestra de Movimiento Audiovisual","NULL","NULL","NULL","Este domingo 20 de septiembre se inaugura en Plaza Universidad. Durante dos semanas se presentarán 6 proyecciones y 15 video-danzas de seis países","1905","NULL"
"1005","Refuerza CUAAD aprendizaje de idiomas","NULL","NULL","NULL","Por medio de la beca Fulbright-García Robles de COMEXUS una experta en lingüística impartirá cursos en el campus.","1915","NULL"
"1013","Llega la tecnología de Apple al CUAAD","NULL","NULL","NULL","Como parte de la gira “Generación de Cambio 2015”","1935","NULL"
"1016","Presentarán estudiantes de posgrado del CUAAD, las mejores investigaciones","NULL","NULL","NULL","A partir de hoy y hasta el 6 de octubre compartirán los estudios en el Tercer Congreso Internacional de Posgrados","1939","NULL"
"1017","Inicia V Coloquio Internacional de Música del CUAAD","NULL","NULL","NULL","Homenajean al destacado pianista mexicano Jorge Federico Osorio","1940","NULL"
"1019","Arquitectura mexicana goza de buena reputación en el mundo: Rector del CUAAD","NULL","NULL","NULL","  En este plantel se modifican las aulas de la licenciatura en Arquitectura con nuevas tecnología para mejor aprendizaje","1981","NULL"
"1020","Se integrará UdeG a asociación internacional que reúne a las mejores escuelas de cine del mundo","NULL","NULL","NULL","CILECT realiza visita de evaluación al Departamento de Imagen y Sonido del CUAAD","1982","NULL"
"1021","Inician egresados del CUAAD, rodaje de película “los años azules”","NULL","NULL","NULL","Es el segundo largometraje de los creadores de “Somos Mari Pepa”, quienes buscan financiamiento en iniciativa privada, instituciones y la propia audiencia","1983","NULL"
"1023","Con mural buscan crear conciencia sobre represiones a estudiantes","NULL","NULL","NULL","Alumnos del CUAAD conmemoran lo ocurrido en Iguala y Tlatelolco","2000","NULL"
"1025","Diseña estudiante del CUAAD auto futurista para personas de la tercera edad o con discapacidad","NULL","NULL","NULL","Con su proyecto, gana IV Concurso Estatal de Diseño Automotriz","2005","NULL"
"1028","CUAAD hará jornadas de actualización en danza y teatro","NULL","NULL","NULL","Incluye talleres y conferencias con especialistas nacionales y extranjeros","2014","NULL"
"1029","CUAAD presenta proyectos al presidente municipal de Tonalá","NULL","NULL","NULL"," Alumnos expusieron propuestas de movilidad incluyente para el municipio.","2036","NULL"
"1032","Recibirá CUAAD a 1300 jóvenes universitarios de Jalisco","NULL","NULL","NULL","En el marco del IV Congreso de Jóvenes Universitarios","2049","NULL"
"1034","Más de 100 mil casas en México son abandonadas por sus dueños","NULL","NULL","NULL","Anuncian el Primer Simposio de Vivienda Digna, Sustentable y Resiliente, en UdeG","2054","NULL"
"1035","Urgente cambiar modelo educativo en las artes","NULL","NULL","NULL"," Llega Segundo Encuentro Internacional Universitario de Artes Escénicas al CUAAD","2055","NULL"
"1036","Inauguran IV Congreso Internacional de Jóvenes Universitarios","NULL","NULL","NULL"," Lamenta doctora Patricia Rosas Chávez que cerca de 7 millones de jóvenes en México no puedan estudiar, ni trabajar","2056","NULL"
"1038","Ganan estudiantes del CUAAD concurso Modarte","NULL","NULL","NULL","Obtuvieron primero y segundo lugares en el certamen que organiza la Cámara de la Industria del Calzado del Estado de Jalisco (CICEJ)","2066","NULL"
"1042","Reciben administrativos capacitación para mejorar los servicios en CUAAD","NULL","NULL","NULL","NULL","2072","NULL"
"1079","Celebra CUAAD 67 años de enseñanza en arquitectura","NULL","NULL","NULL","Habrá conferencias, paneles y talleres para los mil 700 alumnos de Arquitectura de este plantel","2111","NULL"
"1104","Alistan noveno Festival de la Muerte del CUAAD","NULL","NULL","NULL","En esta edición participarán cerca de mil estudiantes de la Red Universitaria","2121","NULL"
"1106","Inicia Festival de la Muerte con tradicional desfile de carros alegóricos","NULL","NULL","NULL","Color y tradición visten carros alegóricos realizados por alumnos de la Red Universitaria","2215","NULL"
"1108","La esencia de la arquitectura es el ser humano: Ricardo Agraz Orozco","NULL","NULL","NULL","NULL","2240","NULL"
"1111","Realizan estudiantes interpretación de la obra de Mathias Goeritz","NULL","NULL","NULL","En el marco del Coloquio Internacional a 100 años de su nacimiento.","2294","NULL"
"1131","Reconoce Academia Nacional de Arquitectura capítulo Guadalajara a académicos del CUAAD","NULL","NULL","NULL","El proyecto “Ambientes turísticos sustentables” se exhibe en el Museo de la Ciudad.","2383","NULL"
"1133","Sebastián recuerda a Goeritz como un padre","NULL","NULL","NULL","El escultor Sebastián, en su tiempo asistente de Mathias Goeritz, recordó el rigor con el que el polaco calificaba su obra","2392","NULL"
"1134","Daniel Goeritz y Sebastián visitan el CUAAD","NULL","NULL","NULL","Reconocieron a estudiantes que realizaron obras inspiradas en Mathias Goeritz","2393","NULL"
"1168","Promueven conservación preventiva de murales en Guadalajara","NULL","NULL","NULL","Los murales de los maestros Gabriel Flores y José Clemente Orozco requieren de atención continua, denuncian en II Seminario sobre Muralismo y Grabado","2508","NULL"
"1185","Realizan XXIX Expo Diseña Emprende en el CUAAD","NULL","NULL","NULL","Alumnos de diseño de Modas, Industrial, Gráfico y Arquitectura, presentaron 80 proyectos empresariales","2572","NULL"
"1186","Diseñan espacios para difundir tradiciones mexicanas","NULL","NULL","NULL","Alumnos de diseño de interiores presentan 19 espacios interactivos.","2581","NULL"
"1204","Alberto Kalach recibirá el Homenaje ArpaFIL","NULL","NULL","NULL"," El arquitecto mexicano será reconocido por la Feria Internacional del Libro de Guadalajara. Es uno de los autores de la Biblioteca José Vasconcelos","2666","NULL"
"1206","Para entender mejor al país es necesario no tener una visión centralista de la cultura","NULL","NULL","NULL","Anuncian el XIII Encuentro del Seminario Permanente de Estudios de la Gran Chichimeca, del 26 al 28 de noviembre","2669","NULL"
"1220","Inicia Encuentro Sobre Estudios de la Gran Chichimeca en el CUAAD","NULL","NULL","NULL","15 Años de investigaciones interdisciplinarias serán presentadas a estudiantes y académicos durante tres días","2685","NULL"
"1222"," Reconocerá CUAAD a estudiantes de Diseño Gráfico","NULL","NULL","NULL","En el marco del cuarto Coloquio Proyectos de Comunicación "Procesos y Soluciones"","2753","NULL"
"1223","Analizan historia y arquitectura de capillas en Jalisco","NULL","NULL","NULL","Dentro del XIII Encuentro del Seminario Permanente de Estudios de la Gran Chichimeca (SEPECH).","2754","NULL"
"1226","El cómic como medio de contar historias ambientales","NULL","NULL","NULL","El novelista gráfico Matt Dembicki abre las actividades del Encuentro Internacional de Caricatura e Historieta.","2787","NULL"
"1240","Premian talento de jóvenes arquitectos en ArpaFIL 2015","NULL","NULL","NULL","Los proyectos se harán llegar a las autoridades correspondientes","2861","NULL"
"1242"," Llegan la caricatura y la historieta a la FIL","NULL","NULL","NULL","Paco Calderón recibe el homenaje "La Catrina"","2870","NULL"
"1243","Entregan el premio ArpaFIL a Alberto Kalach","NULL","NULL","NULL"," El homenajeado afirmó que hay que transformar el espacio de la ciudad para hacerla más justa y bella","2871","NULL"
"1244","Entregan premio “La Catrina” a Paco Calderón","NULL","NULL","NULL","Concluye el Encuentro Internacional de Caricatura e Historieta","2872","NULL"
"1245","Exhiben alrededor de 400 productos con identidad mexicana","NULL","NULL","NULL","Elaborados por estudiantes de la licenciatura en Diseño Industrial del CUAAD","2881","NULL"
"1247","Exhiben producciones audiovisuales alumnos del CUAAD","NULL","NULL","NULL","Como parte de la Muestra de Cortometrajes 2015","2893","NULL"
"1249","Desarrollan campañas informativas con perspectiva social","NULL","NULL","NULL","Estudiantes del CUAAD presentaron proyectos de comunicación para candidaturas a pueblos mágicos","2901","NULL"
"1253","Alumnos del CUAAD crean campaña en favor de Hospitales Civiles","NULL","NULL","NULL","La pondrán en marcha entre enero y febrero del 2016","2954","NULL"
"1255","Realizan Mesa de Reflexión ""¿Y A NOSOTROS QUÉ?”","NULL","NULL","NULL","NULL","2963","NULL"
"1256","En enero, segunda eliminatoria y final del Primer Concurso Nacional de Piano de la UdeG","NULL","NULL","NULL","El ganador del primer lugar tendrá la posibilidad de tocar como solista con la Orquesta Filarmónica de Querétaro","2968","NULL"
"1260","CUAAD asesora a artesanos de Tlajomulco para innovar en artesanías","NULL","NULL","NULL","Crearon nuevos productos a partir de la piedra del molcajete","2979","NULL"
"1263","Crean adhesivo sin plomo para vitrales y clutch electrónico para motocicletas ","NULL","NULL","NULL","Estudiantes de maestría del CUAAD","2980","NULL"
"1264","Desarrollan pantallas inteligentes para Ciudad Creativa Digital","NULL","NULL","NULL","Contarán con acceso universal, cambios simultáneos de idioma, son ecológicas y de larga duración","2981","NULL"
"1273","Inicia I Concurso Nacional de Piano","NULL","NULL","NULL","Los tres primeros lugares ofrecerán un recital en el Paraninfo Enrique Díaz de León","3043","NULL"
"1284","Premian a los participantes del Primer Concurso Nacional de Piano de la UdeG","NULL","NULL","NULL","Uno de los ocho finalistas pertenece al Departamento de Música de esta Casa de Estudio","3069","NULL"
"1286","Ideas urbanísticas aisladas en ZMG impiden desarrollo articulado","NULL","NULL","NULL","Afirma coordinadora de maestría del CUAAD, que forma parte de los 131 posgrados de calidad de la UdeG","3195","NULL"
"1288","Recibe CUAAD a coordinadores del deporte en UdeG","NULL","NULL","NULL","Como parte de la Asamblea Ordinaria del Deporte de la Red Universitaria.","3210","NULL"
"1290","Serán wixaritári protagonistas en Berlinale","NULL","NULL","NULL","Los documentales “Aurelia y Pedro” y “Neiwa”, dirigidos por estudiantes del DIS en la sierra wixárika, van a la edición 66 del Festival Internacional de Cine de Berlín","3221","NULL"
"1295","Habitantes a favor de obra de remozamiento de Avenida Tonaltecas","NULL","NULL","NULL","Se invertirán más de 100 millones de pesos","3230","NULL"
"1302","Presentará CUAAD proyecto arquitectónico y de imagen urbana en alrededores del CUCSH","NULL","NULL","NULL","Académicos visitaron la zona donde se harán las adecuaciones ","3250","NULL"
"1304","Certifican Laboratorio Nacional de Vivienda y Comunidades Sustentables de la UdeG","NULL","NULL","NULL","Es el primer laboratorio a nivel nacional en obtener la certificación 2015","3264","NULL"
"1310","Inicia en CUAAD primera jornada sobre deporte universitario","NULL","NULL","NULL","Debaten sobre el presente y futuro de las universidades y la actividad física","3286","NULL"
"1312","Analizan deporte y formación en el contexto universitario","NULL","NULL","NULL","NULL","3294","NULL"
"1314","Alumna del CUAAD gana concurso organizado por Apple","NULL","NULL","NULL","NULL","3299","NULL"
"1315","Se imparte curso sobre técnicas didácticas aplicadas al diseño de espacios a profesores del CUAAD","NULL","NULL","NULL","NULL","3307","NULL"
"1317","Acciones preventivas contra influenza","NULL","NULL","NULL","NULL","3311","NULL"
"1318","Decálogo contra Zika, Dengue y Chikunguya ","NULL","NULL","NULL","NULL","3312","NULL"
"1319","En Jalisco, bajos los niveles de emprendurismo respecto al resto del país y AL","NULL","NULL","NULL"," Se debe inculcar a los jóvenes universitarios la cultura del emprendurismo para generar un mayor desarrollo económico","3316","NULL"
"1322","Participará CUAAD por segundo año en el Festival Internacional de las Artes de Etzatlán","NULL","NULL","NULL","NULL","3330","NULL"
"1324","Expertos capacitan a profesores del CUAAD","NULL","NULL","NULL","Se busca formar, actualizar y ayudar a más de 200 docentes a tener una mejor práctica en el aula","3358","NULL"
"1326","UdeG lamenta fallecimiento del Arq. Vicente Pérez Carabias","NULL","NULL","NULL","La Universidad le hará un homenaje luctuoso a las 12:30 hrs. en el Foro de Imagen y Sonido del CUAAD","3356","NULL"
"1327","Imparte Pablo Alonso Herraiz curso a docentes del CUAAD","NULL","NULL","NULL","NULL","3357","NULL"
"1329","Rinden homenaje póstumo al arquitecto Vicente Pérez Carabias","NULL","NULL","NULL","El doctor se destacó por consagrar 50 años de su vida a la educación","3362","NULL"
