"nid","title","body","body_format","body_summary","sinopsis","image_fid","archivo_fid"
"2565","Pintura, fotografía y música, compañeras de la arquitectura","NULL","NULL","NULL","Debaten en charla organizada por la maestría en Valuación de UDGVirtual y la generación 78-83 de la licenciatura en Arquitectura, del CUAAD","9102","NULL"
"2565","Pintura, fotografía y música, compañeras de la arquitectura","NULL","NULL","NULL","Debaten en charla organizada por la maestría en Valuación de UDGVirtual y la generación 78-83 de la licenciatura en Arquitectura, del CUAAD","9103","NULL"
"2565","Pintura, fotografía y música, compañeras de la arquitectura","NULL","NULL","NULL","Debaten en charla organizada por la maestría en Valuación de UDGVirtual y la generación 78-83 de la licenciatura en Arquitectura, del CUAAD","9104","NULL"
"2568","Egresado de UdeG crea proyecto sonoro sobre tradición oral de las 12 regiones de Jalisco","NULL","NULL","NULL","Periodista de “La gaceta” de UdeG, Iván Serrano, presenta “Jalisco. Voces de leyenda”, serie que ya se puede escuchar en plataformas de podcast","9113","NULL"
"2568","Egresado de UdeG crea proyecto sonoro sobre tradición oral de las 12 regiones de Jalisco","NULL","NULL","NULL","Periodista de “La gaceta” de UdeG, Iván Serrano, presenta “Jalisco. Voces de leyenda”, serie que ya se puede escuchar en plataformas de podcast","9114","NULL"
"2568","Egresado de UdeG crea proyecto sonoro sobre tradición oral de las 12 regiones de Jalisco","NULL","NULL","NULL","Periodista de “La gaceta” de UdeG, Iván Serrano, presenta “Jalisco. Voces de leyenda”, serie que ya se puede escuchar en plataformas de podcast","9115","NULL"
"2569","Personas con discapacidad abordan problemas que se han acentuado durante la pandemia","NULL","NULL","NULL","Presentan webinar “COVID-19: Discapacidad en tiempos de pandemia”, organizado por la Universidad de Guadalajara y Jalisco a Futuro","9116","NULL"
"2570","Anuncia la FIL criterios sobre su edición 34","NULL","NULL","NULL","En un comunicado advierte que trabajan en varias acciones: su realización en dos sedes, con las estrategias y debidos protocolos, un posible escenario de una Feria virtual o posponer la edición","9117","NULL"
"2571","Retransmitirán conciertos del Concurso Nacional de Piano de la UdeG","NULL","NULL","NULL","La quinta edición de este certamen fue pospuesta para el próximo año, por lo que revivirán conciertos y premiaciones del 2016 a 2019, a partir de este 7 de julio","9120","NULL"
"2571","Retransmitirán conciertos del Concurso Nacional de Piano de la UdeG","NULL","NULL","NULL","La quinta edición de este certamen fue pospuesta para el próximo año, por lo que revivirán conciertos y premiaciones del 2016 a 2019, a partir de este 7 de julio","9121","NULL"
"2579","Pandemia abre posibilidad de formar a más periodistas en temas de salud","NULL","NULL","NULL","Presentan webinar “COVID-19: Periodismo en tiempos de pandemia” ","9168","NULL"
"2579","Pandemia abre posibilidad de formar a más periodistas en temas de salud","NULL","NULL","NULL","Presentan webinar “COVID-19: Periodismo en tiempos de pandemia” ","9169","NULL"
"2579","Pandemia abre posibilidad de formar a más periodistas en temas de salud","NULL","NULL","NULL","Presentan webinar “COVID-19: Periodismo en tiempos de pandemia” ","9170","NULL"
"2580","Continúa colaboración del CUAAD con escuelas latinoamericanas","NULL","NULL","NULL","La maestría en Urbanismo y Territorio, así como la licenciatura en Urbanística y Medio Ambiente fortalecerán trabajo con 16 instituciones educativas","9171","NULL"
"2580","Continúa colaboración del CUAAD con escuelas latinoamericanas","NULL","NULL","NULL","La maestría en Urbanismo y Territorio, así como la licenciatura en Urbanística y Medio Ambiente fortalecerán trabajo con 16 instituciones educativas","9172","NULL"
"2580","Continúa colaboración del CUAAD con escuelas latinoamericanas","NULL","NULL","NULL","La maestría en Urbanismo y Territorio, así como la licenciatura en Urbanística y Medio Ambiente fortalecerán trabajo con 16 instituciones educativas","9173","NULL"
"2580","Continúa colaboración del CUAAD con escuelas latinoamericanas","NULL","NULL","NULL","La maestría en Urbanismo y Territorio, así como la licenciatura en Urbanística y Medio Ambiente fortalecerán trabajo con 16 instituciones educativas","9174","NULL"
"2582","México entra al T-MEC sin condiciones para competir en innovación y tecnología","NULL","NULL","NULL","Inició UdeG con webinars “Hablemos del futuro”, con especialistas que hablarán de política, gobernanza, democracia y justicia todos los viernes","9177","NULL"
"2582","México entra al T-MEC sin condiciones para competir en innovación y tecnología","NULL","NULL","NULL","Inició UdeG con webinars “Hablemos del futuro”, con especialistas que hablarán de política, gobernanza, democracia y justicia todos los viernes","9178","NULL"
"2583","Flexibiliza UdeG entrega de documentos para aspirantes de primer ingreso","NULL","NULL","NULL","Por el COVID-19, centros universitarios han habilitado correos electrónicos o plataformas para enviar documentos escaneados ","9179","NULL"
"2585","Desde Casa, estudiantes de artes plásticas del CUAAD trabajaron exposición virtual “Desgénero”","NULL","NULL","NULL","Se trata de 39 obras que se integran al micrositio CUAADArte en casa","9181","NULL"
"2585","Desde Casa, estudiantes de artes plásticas del CUAAD trabajaron exposición virtual “Desgénero”","NULL","NULL","NULL","Se trata de 39 obras que se integran al micrositio CUAADArte en casa","9182","NULL"
"2585","Desde Casa, estudiantes de artes plásticas del CUAAD trabajaron exposición virtual “Desgénero”","NULL","NULL","NULL","Se trata de 39 obras que se integran al micrositio CUAADArte en casa","9183","NULL"
"2598","Centro de Aislamiento Voluntario de la UdeG evita mil 640 casos de COVID-19","NULL","NULL","NULL","Hasta el momento han ingresado 18 personas, de las cuales ya se recuperaron cinco, que volvieron a sus hogares","9247","NULL"
"2598","Centro de Aislamiento Voluntario de la UdeG evita mil 640 casos de COVID-19","NULL","NULL","NULL","Hasta el momento han ingresado 18 personas, de las cuales ya se recuperaron cinco, que volvieron a sus hogares","9248","NULL"
"2599","Implementa UdeG programa de préstamo de oxímetros para enfermos de COVID-19","NULL","NULL","NULL","Se amplía la red de laboratorios para la detección del coronavirus a CUSur y CUAltos","9269","NULL"
"2599","Implementa UdeG programa de préstamo de oxímetros para enfermos de COVID-19","NULL","NULL","NULL","Se amplía la red de laboratorios para la detección del coronavirus a CUSur y CUAltos","9270","NULL"
"2599","Implementa UdeG programa de préstamo de oxímetros para enfermos de COVID-19","NULL","NULL","NULL","Se amplía la red de laboratorios para la detección del coronavirus a CUSur y CUAltos","9271","NULL"
"2601","Estudiante del CUAAD crea nuevas esculturas de Minerva, para reflexionar sobre el arte urbano en Guadalajara","NULL","NULL","NULL","El artista Francisco Orozco, estudiante de la maestría en Educación y Expresión para las Artes, instala obras al oriente de la ciudad","9289","NULL"
"2601","Estudiante del CUAAD crea nuevas esculturas de Minerva, para reflexionar sobre el arte urbano en Guadalajara","NULL","NULL","NULL","El artista Francisco Orozco, estudiante de la maestría en Educación y Expresión para las Artes, instala obras al oriente de la ciudad","9290","NULL"
